 2x  nRFmicro 1.4                 -> https://github.com/joric/nrfmicro
 1x  R502-B fingerprint sensor    -> https://es.aliexpress.com/item/1005001458012043.html
 2x  OLED                         -> https://es.aliexpress.com/item/33008480580.html
 1x  Encoder cap                  -> https://es.aliexpress.com/item/1005003023613877.html
 1x  Jack wire                    -> https://splitkb.com/collections/keyboard-parts/products/metal-trrs-cable
58x  Switches                     -> 
 1x  Key caps set (58)            -> 
 5x  Pass-through (7 mm)          -> 
 2x  Pass-through (10 mm)         -> 
14x  Screws                       -> 
 2x  Bottom plate                 -> 
 2x  Top plate                    -> 
 2x  nRFmicro plate               -> 
