"Quantity","Manufacture Part Number","Manufacturer(optional)","Description(optional)","LCSC Part Number(optional)","Package(optional)"
"1","0603B104K500AT","FH(Guangdong Fenghua Advanced Tech)","100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C191538","0603"
"2","0603B105K160NT","FH(Guangdong Fenghua Advanced Tech)","X7R ±10% 1uF 16V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C93816","0603"
"2","RS-03K1001FT","FH(Guangdong Fenghua Advanced Tech)","±1% ±100ppm/ºC 1kΩ 0.1W 0603 Chip Resistor - Surface Mount ROHS","C115325","0603"
"2","RS-03K1002FT","FH(Guangdong Fenghua Advanced Tech)","±1% ±100ppm/ºC 10kΩ 0.1W 0603 Chip Resistor - Surface Mount ROHS","C115324","0603"
"72","","","SK6812 3535 RGB LED (https://es.aliexpress.com/item/32782295214.html)","","3535"
"60","1N4148W","Shandong Jingdao Microelectronics","+150ºC (Tj) 1uA 75V 300mA 1.25V 150mA Single 100V 400mW 8ns -55ºC (Tj) SOD-123 Switching Diode ROHS","C115103","SOD-123"
"1","ATMEGA328P-AU","Microchip Tech","1.8V ~ 5.5V 8-Bit AVR 20MHz FLASH TQFP-32_7x7x08P ATMEL & AVR ROHS","C14877","TQFP-32_7x7x08P"
"1","THD0515-06CL-SN","THD","6 0.020 0.50mm 0.059 1.50mm Backlock Contact,Bottom SMD,P=0.5mm FFC/FPC Connectors ROHS","C283139","SMD,P=0.5mm"
"1","CSTCE8M00G52-R0","Murata Electronics","±0.5% 8MHz 10pF 40Ω SMD3213-3P Ceramic Resonators ROHS","C22549","SMD3213-3P"
"2","EG1206A","E-Switch","30V 200mA @ 30VDC On-On SPDT Plugin Slide Switches ROHS","C273392","Plugin"
"1","EC11E1534441","ALPSALPINE","Plugin Coded Rotary Switches ROHS","C2687287","Plugin"
"58","","Kailh","Low profile howswap switch connector (https://es.aliexpress.com/item/1005002695808124.html)","","Low profile"
"2","PM254V-11-04-H85","XFCN","Through Hole,P=2.54mm Female Headers ROHS","C541851","Through Hole,P=2.54mm"
"2","1TS002A-1800-4300","HYP (Hongyuan Precision)","Top Actuated 50mA @ 12VDC Plunger for Cap SPST Plugin,3.5x6x4.3mm Tactile Switches ROHS","C255783","Plugin,3.5x6x4.3mm"
"2","PH-2A","BOOMELE(Boom Precision Elec)","2 Header PH 0.079"(2.00mm) Male Pin Through Hole Wire To Board / Wire To Wire Connector ROHS","C16965","Through Hole"
"2","PJ-3200B-4A","Korean Hroparts Elec","3.5mm Plug-in headphone holder Horizontal 4 Female 14.1*6.1mm Audio Connectors ROHS","C136687","14.1*6.1mm"
